,description,question,choices,answer
210,Navy waves flowing across a sand-colored canvas,"['are there waves flowing across the sand-colored canvas?', 'what type of object is this?', 'is this a sand-colored canvas?', 'what type of object is this?', 'are the waves flowing across the sand-colored canvas?', 'what are the waves doing?', 'are the waves navy?', 'what color are the waves?', 'are the waves flowing across the sand-colored canvas?', 'are the waves flowing across or along the sand-colored canvas?']","[['yes', 'no'], ['waves', 'clouds', 'fog', 'smoke'], ['yes', 'no'], ['sand-colored canvas', 'blue-colored canvas', 'red-colored canvas', 'green-colored canvas'], ['yes', 'no'], ['flowing', 'crashing', 'splashing', 'waving'], ['yes', 'no'], ['navy', 'blue', 'red', 'green'], ['yes', 'no'], ['across', 'along', 'under', 'over']]","['yes', 'waves', 'yes', 'sand-colored canvas', 'yes', 'flowing', 'yes', 'navy', 'yes', 'across']"
211,A deep blue sphere floating in a vibrant orange void.,"['is there a sphere?', 'what type of shape is this?', 'is there a void?', 'what type of place is this?', 'is the sphere floating?', 'what is the sphere doing?', 'is the sphere deep blue?', 'what color is the sphere?', 'is the void vibrant orange?', 'what color is the void?']","[['yes', 'no'], ['sphere', 'cube', 'cylinder', 'cone'], ['yes', 'no'], ['void', 'park', 'forest', 'mountain'], ['yes', 'no'], ['floating', 'flying', 'swimming', 'running'], ['yes', 'no'], ['deep blue', 'bright blue', 'dark blue', 'light blue'], ['yes', 'no'], ['vibrant orange', 'bright orange', 'dark orange', 'light orange']]","['yes', 'sphere', 'yes', 'void', 'yes', 'floating', 'yes', 'deep blue', 'yes', 'vibrant orange']"
212,a bronze cuboctahedron with etched lines,"['is this a cuboctahedron?', 'what shape is this?', 'are there lines on the cuboctahedron?', 'what is on the cuboctahedron?', 'is the cuboctahedron bronze?', 'what color is the cuboctahedron?', 'are there etched lines on the cuboctahedron?']","[['yes', 'no'], ['cuboctahedron', 'sphere', 'cylinder', 'cone'], ['yes', 'no'], ['lines', 'numbers', 'letters', 'symbols'], ['yes', 'no'], ['bronze', 'silver', 'gold', 'copper'], ['yes', 'no']]","['yes', 'cuboctahedron', 'yes', 'lines', 'yes', 'bronze', 'yes']"
213,an abstract geometric arrangement of overlapping transparent circles,"['are there circles?', 'what type of shape is this?', 'are the circles overlapping?', 'are the circles overlapping or touching?', 'are the circles transparent?', 'are the circles transparent or opaque?', 'is this an abstract geometric arrangement?', 'is this an abstract geometric arrangement or a realistic geometric arrangement?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['overlapping', 'touching', 'separated', 'intersecting'], ['yes', 'no'], ['transparent', 'opaque', 'translucent', 'diffuse'], ['yes', 'no'], ['abstract geometric arrangement', 'realistic geometric arrangement', 'random geometric arrangement', 'ordered geometric arrangement']]","['yes', 'circles', 'yes', 'overlapping', 'yes', 'transparent', 'yes', 'abstract geometric arrangement']"
214,Bright orange circles scattered randomly on a pale blue background.,"['are there circles scattered randomly on the background?', 'what type of shape is this?', 'is there a background?', 'what type of shape is this?', 'are the circles scattered randomly?', 'what are the circles doing?', 'are the circles bright orange?', 'what color are the circles?', 'is the background pale blue?', 'what color is the background?', 'are the circles scattered randomly?', 'are the circles scattered randomly or in a pattern?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['scattered', 'arranged', 'organized', 'unorganized'], ['yes', 'no'], ['bright orange', 'bright red', 'bright yellow', 'bright green'], ['yes', 'no'], ['pale blue', 'pale red', 'pale yellow', 'pale green'], ['yes', 'no'], ['randomly', 'pattern', 'order', 'disorder']]","['yes', 'circles', 'yes', 'background', 'yes', 'scattered', 'yes', 'bright orange', 'yes', 'pale blue', 'yes', 'randomly']"
215,deep blue waves crashing on a sandy beach at sunset,"['are there waves crashing on the beach?', 'what type of water is this?', 'is this a beach?', 'what type of place is this?', 'are the waves crashing on the beach?', 'are the waves deep blue?', 'what color are the waves?', 'is the beach sandy?', 'is the beach sandy or rocky?', 'is this a sunset?', 'is this a sunset or a sunrise?']","[['yes', 'no'], ['waves', 'river', 'lake', 'ocean'], ['yes', 'no'], ['beach', 'park', 'forest', 'mountain'], ['yes', 'no'], ['yes', 'no'], ['deep blue', 'light blue', 'purple', 'red'], ['yes', 'no'], ['sandy', 'rocky', 'muddy', 'slippery'], ['yes', 'no'], ['sunset', 'sunrise', 'noon', 'midnight']]","['yes', 'waves', 'yes', 'beach', 'yes', 'yes', 'deep blue', 'yes', 'sandy', 'yes', 'sunset']"
216,a purple spiral expanding from the center,"['is this a spiral?', 'what type of shape is this?', 'is the spiral expanding?', 'what is the spiral doing?', 'is the spiral purple?', 'what color is the spiral?', 'is the spiral expanding from the center?', 'is the spiral expanding from the center or from the edge?']","[['yes', 'no'], ['spiral', 'circle', 'square', 'triangle'], ['yes', 'no'], ['expanding', 'contracting', 'moving', 'still'], ['yes', 'no'], ['purple', 'red', 'blue', 'green'], ['yes', 'no'], ['center', 'edge', 'middle', 'side']]","['yes', 'spiral', 'yes', 'expanding', 'yes', 'purple', 'yes', 'center']"
217,a polished silver sphere,"['is this a sphere?', 'what shape is this?', 'is the sphere silver?', 'what color is the sphere?', 'is the sphere polished?', 'is the sphere polished or dull?']","[['yes', 'no'], ['sphere', 'cube', 'cylinder', 'cone'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['polished', 'dull', 'shiny', 'bright']]","['yes', 'sphere', 'yes', 'silver', 'yes', 'polished']"
218,A checkerboard pattern of emerald and gold squares,"['is this a checkerboard pattern?', 'what type of pattern is this?', 'are there squares?', 'what shape is this?', 'are the squares emerald and gold?', 'what color are the squares?']","[['yes', 'no'], ['checkerboard pattern', 'stripes', 'dots', 'lines'], ['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['emerald and gold', 'red and blue', 'blue and green', 'red and yellow']]","['yes', 'checkerboard pattern', 'yes', 'squares', 'yes', 'emerald and gold']"
219,a chaotic array of magenta lines and cyan dots,"['are there lines?', 'what type of object is this?', 'are there dots?', 'what type of object is this?', 'are the lines magenta?', 'what color are the lines?', 'are the dots cyan?', 'what color are the dots?', 'is this a chaotic array?']","[['yes', 'no'], ['lines', 'dots', 'squares', 'triangles'], ['yes', 'no'], ['dots', 'lines', 'squares', 'triangles'], ['yes', 'no'], ['magenta', 'blue', 'red', 'green'], ['yes', 'no'], ['cyan', 'blue', 'red', 'green'], ['yes', 'no']]","['yes', 'lines', 'yes', 'dots', 'yes', 'magenta', 'yes', 'cyan', 'yes']"
220,a rusted metal sculpture,"['is this a sculpture?', 'what type of art is this?', 'is the sculpture rusted metal?', 'what is the material of the sculpture?']","[['yes', 'no'], ['sculpture', 'painting', 'drawing', 'photograph'], ['yes', 'no'], ['rusted metal', 'iron', 'steel', 'aluminum']]","['yes', 'sculpture', 'yes', 'rusted metal']"
221,navy blue pinstripe suit with a silk tie,"['is this a suit?', 'what type of clothing is this?', 'is there a tie?', 'what is the man wearing?', 'is the suit navy blue?', 'what color is the suit?', 'is the suit pinstripe?', 'what color is the suit?', 'is the tie silk?', 'what is the material of the tie?']","[['yes', 'no'], ['suit', 'dress', 't-shirt', 'pants'], ['yes', 'no'], ['tie', 'necklace', 'earrings', 'bracelet'], ['yes', 'no'], ['navy blue', 'black', 'white', 'yellow'], ['yes', 'no'], ['pinstripe', 'solid', 'check', 'stripe'], ['yes', 'no'], ['silk', 'cotton', 'wool', 'leather']]","['yes', 'suit', 'yes', 'tie', 'yes', 'navy blue', 'yes', 'pinstripe', 'yes', 'silk']"
222,a vintage wooden desk with brass handles,"['is this a desk?', 'what type of furniture is this?', 'are there handles on the desk?', 'what is on the desk?', 'is the desk vintage?', 'is the desk vintage or modern?', 'is the desk wooden?', 'what is the material of the desk?', 'are the handles brass?', 'what is the material of the handles?']","[['yes', 'no'], ['desk', 'chair', 'table', 'bed'], ['yes', 'no'], ['handles', 'legs', 'feet', 'wheels'], ['yes', 'no'], ['vintage', 'modern', 'antique', 'new'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass'], ['yes', 'no'], ['brass', 'iron', 'copper', 'silver']]","['yes', 'desk', 'yes', 'handles', 'yes', 'vintage', 'yes', 'wooden', 'yes', 'brass']"
223,blue circles overlapping yellow squares,"['are there circles?', 'what shape is this?', 'are there squares?', 'what shape is this?', 'are the circles overlapping the squares?', 'are the circles blue?', 'what color are the circles?', 'are the squares yellow?', 'what color are the squares?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green']]","['yes', 'circles', 'yes', 'squares', 'yes', 'yes', 'blue', 'yes', 'yellow']"
224,Tan cotton shorts with drawstring waist,"['are these shorts?', 'what type of clothing is this?', 'is there a drawstring waist?', 'what is the waist of the shorts?', 'are the shorts tan?', 'what color are the shorts?', 'are the shorts cotton?', 'what is the material of the shorts?']","[['yes', 'no'], ['shorts', 'pants', 'skirt', 'dress'], ['yes', 'no'], ['drawstring waist', 'button waist', 'zipper waist', 'snap waist'], ['yes', 'no'], ['tan', 'black', 'white', 'blue'], ['yes', 'no'], ['cotton', 'wool', 'silk', 'leather']]","['yes', 'shorts', 'yes', 'drawstring waist', 'yes', 'tan', 'yes', 'cotton']"
225,burnt orange leather armchair with brass studs,"['is this an armchair?', 'what type of furniture is this?', 'are there studs on the armchair?', 'what is on the armchair?', 'is the armchair burnt orange?', 'what color is the armchair?', 'are the studs brass?', 'what color are the studs?', 'is the armchair leather?', 'what is the material of the armchair?']","[['yes', 'no'], ['armchair', 'sofa', 'bed', 'table'], ['yes', 'no'], ['studs', 'nails', 'screws', 'bolts'], ['yes', 'no'], ['burnt orange', 'black', 'white', 'yellow'], ['yes', 'no'], ['brass', 'silver', 'gold', 'bronze'], ['yes', 'no'], ['leather', 'wood', 'plastic', 'glass']]","['yes', 'armchair', 'yes', 'studs', 'yes', 'burnt orange', 'yes', 'brass', 'yes', 'leather']"
226,A worn leather satchel with brass buckles,"['is this a satchel?', 'what type of bag is this?', 'are there brass buckles?', 'what type of fastener is this?', 'is the satchel worn?', 'is the satchel worn or new?', 'is the satchel leather?', 'what is the material of the satchel?']","[['yes', 'no'], ['satchel', 'purse', 'backpack', 'suitcase'], ['yes', 'no'], ['brass buckles', 'zippers', 'buttons', 'belts'], ['yes', 'no'], ['worn', 'new', 'old', 'broken'], ['yes', 'no'], ['leather', 'cloth', 'plastic', 'metal']]","['yes', 'satchel', 'yes', 'brass buckles', 'yes', 'worn', 'yes', 'leather']"
227,Rough brown burlap texture with white stitching,"['is this burlap?', 'what type of fabric is this?', 'is there stitching?', 'what is on the burlap?', 'is the burlap brown?', 'what color is the burlap?', 'is the stitching white?', 'what color is the stitching?', 'is the burlap rough?', 'is the burlap rough or smooth?', 'is there texture?', 'is there texture or pattern?']","[['yes', 'no'], ['burlap', 'cotton', 'linen', 'silk'], ['yes', 'no'], ['stitching', 'painting', 'drawing', 'print'], ['yes', 'no'], ['brown', 'black', 'white', 'yellow'], ['yes', 'no'], ['white', 'black', 'red', 'blue'], ['yes', 'no'], ['rough', 'smooth', 'wavy', 'curvy'], ['yes', 'no'], ['texture', 'pattern', 'shape', 'color']]","['yes', 'burlap', 'yes', 'stitching', 'yes', 'brown', 'yes', 'white', 'yes', 'rough', 'yes', 'texture']"
228,a sandy desert at sunrise,"['is this a sandy desert?', 'what type of place is this?', 'is this a sunrise?', 'is this a sunrise or a sunset?']","[['yes', 'no'], ['sandy desert', 'forest', 'mountain', 'beach'], ['yes', 'no'], ['sunrise', 'sunset', 'morning', 'evening']]","['yes', 'sandy desert', 'yes', 'sunrise']"
229,Swirling gradient from violet to orange behind a white silhouette of a bird.,"['is there a gradient?', 'what type of object is this?', 'is the gradient violet?', 'what color is the gradient?', 'is the gradient orange?', 'what color is the gradient?', 'is this a bird?', 'what animal is this?', 'is the gradient swirling?', 'what is the gradient doing?', 'is the bird white?', 'what color is the bird?']","[['yes', 'no'], ['gradient', 'circle', 'square', 'triangle'], ['yes', 'no'], ['violet', 'red', 'yellow', 'green'], ['yes', 'no'], ['orange', 'red', 'yellow', 'green'], ['yes', 'no'], ['bird', 'dog', 'cat', 'fish'], ['yes', 'no'], ['swirling', 'moving', 'still', 'shaking'], ['yes', 'no'], ['white', 'black', 'red', 'blue']]","['yes', 'gradient', 'yes', 'violet', 'yes', 'orange', 'yes', 'bird', 'yes', 'swirling', 'yes', 'white']"
230,A dark red velvet curtain with gold embroidery,"['is this a curtain?', 'what type of object is this?', 'is the curtain dark red?', 'what color is the curtain?', 'is the curtain velvet?', 'what is the material of the curtain?', 'is the embroidery gold?', 'what color is the embroidery?', 'is there embroidery on the curtain?']","[['yes', 'no'], ['curtain', 'blind', 'shade', 'drape'], ['yes', 'no'], ['dark red', 'pure red', 'dark blue', 'pure blue'], ['yes', 'no'], ['velvet', 'silk', 'wool', 'cotton'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no']]","['yes', 'curtain', 'yes', 'dark red', 'yes', 'velvet', 'yes', 'gold', 'yes']"
231,a wooden toy train with red wheels,"['is this a toy train?', 'what type of vehicle is this?', 'are there wheels on the toy train?', 'what is on the toy train?', 'is the toy train wooden?', 'what is the material of the toy train?', 'are the wheels red?', 'what color are the wheels?']","[['yes', 'no'], ['toy train', 'car', 'motorcycle', 'bus'], ['yes', 'no'], ['wheels', 'tracks', 'couplings', 'signals'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass'], ['yes', 'no'], ['red', 'black', 'white', 'yellow']]","['yes', 'toy train', 'yes', 'wheels', 'yes', 'wooden', 'yes', 'red']"
232,olive green hexagons arranged on a textured copper plate,"['are there olive green hexagons?', 'what shape are the olive green hexagons?', 'is there a textured copper plate?', 'what type of object is this?', 'are the olive green hexagons arranged on the textured copper plate?', 'are the olive green hexagons olive green?', 'what color are the olive green hexagons?', 'is the textured copper plate copper?', 'what color is the textured copper plate?']","[['yes', 'no'], ['olive green hexagons', 'olive green squares', 'olive green circles', 'olive green triangles'], ['yes', 'no'], ['textured copper plate', 'textured gold plate', 'textured silver plate', 'textured bronze plate'], ['yes', 'no'], ['yes', 'no'], ['olive green', 'red', 'blue', 'yellow'], ['yes', 'no'], ['copper', 'gold', 'silver', 'bronze']]","['yes', 'olive green hexagons', 'yes', 'textured copper plate', 'yes', 'yes', 'olive green', 'yes', 'copper']"
233,A tessellation of emerald triangles forming a seamless pattern.,"['is this a tessellation?', 'is this a tessellation or a solid figure?', 'are the triangles emerald?', 'what color are the triangles?', 'is this a seamless pattern?', 'is this a seamless pattern or a seamless surface?']","[['yes', 'no'], ['tessellation', 'solid figure', 'hollow figure', 'surface figure'], ['yes', 'no'], ['emerald', 'ruby', 'sapphire', 'diamond'], ['yes', 'no'], ['seamless pattern', 'seamless surface', 'seamless object', 'seamless shape']]","['yes', 'tessellation', 'yes', 'emerald', 'yes', 'seamless pattern']"
234,overlapping blue and yellow circles,"['are there circles?', 'what type of shape is this?', 'are the circles overlapping?', 'what are the circles doing?', 'are the circles blue and yellow?', 'what color are the circles?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['overlapping', 'touching', 'crossing', 'intersecting'], ['yes', 'no'], ['blue and yellow', 'red and blue', 'blue and green', 'red and green']]","['yes', 'circles', 'yes', 'overlapping', 'yes', 'blue and yellow']"
235,A golden abstract pattern,"['is this a pattern?', 'what type of object is this?', 'is the pattern golden?', 'what color is the pattern?', 'is the pattern abstract?', 'is the pattern abstract or realistic?']","[['yes', 'no'], ['pattern', 'picture', 'painting', 'drawing'], ['yes', 'no'], ['golden', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['abstract', 'realistic', 'impressionistic', 'expressionistic']]","['yes', 'pattern', 'yes', 'golden', 'yes', 'abstract']"
236,A single crimson line winding organically across a stark white canvas.,"['is there a line winding organically across a stark white canvas?', 'what type of object is this?', 'is there a canvas?', 'what type of object is this?', 'is the line winding organically across the canvas?', 'what is the line doing?', 'is the line crimson?', 'what color is the line?', 'is the line single?', 'how many lines are there?', 'is the line winding organically across the canvas?', 'is the canvas stark white?']","[['yes', 'no'], ['line', 'circle', 'square', 'triangle'], ['yes', 'no'], ['canvas', 'paper', 'board', 'wall'], ['yes', 'no'], ['winding', 'straight', 'curving', 'spiraling'], ['yes', 'no'], ['crimson', 'red', 'blue', 'green'], ['yes', 'no'], ['1', '2', '3', '4'], ['yes', 'no'], ['yes', 'no']]","['yes', 'line', 'yes', 'canvas', 'yes', 'winding', 'yes', 'crimson', 'yes', '1', 'yes', 'yes']"
237,Teal striped socks,"['are these socks?', 'what type of clothing is this?', 'are the socks teal?', 'what color are the socks?', 'are the socks striped?']","[['yes', 'no'], ['socks', 'shoes', 'pants', 'shirt'], ['yes', 'no'], ['teal', 'blue', 'red', 'yellow'], ['yes', 'no']]","['yes', 'socks', 'yes', 'teal', 'yes']"
238,"A stack of worn, leather-bound books on a rustic wooden table.","['are there books on the table?', 'what type of object is this?', 'is there a table?', 'what type of furniture is this?', 'is this a stack of books?', 'is this a stack or a pile of books?', 'are the books worn?', 'are the books worn or new?', 'are the books leather-bound?', 'are the books leather-bound or paper-bound?', 'is the table rustic?']","[['yes', 'no'], ['books', 'magazines', 'newspapers', 'journals'], ['yes', 'no'], ['table', 'chair', 'sofa', 'bed'], ['yes', 'no'], ['stack', 'pile', 'heap', 'mound'], ['yes', 'no'], ['worn', 'new', 'old', 'antique'], ['yes', 'no'], ['leather-bound', 'paper-bound', 'cloth-bound', 'plastic-bound'], ['yes', 'no']]","['yes', 'books', 'yes', 'table', 'yes', 'stack', 'yes', 'worn', 'yes', 'leather-bound', 'yes']"
239,A crimson velvet curtain with gold trim.,"['is this a curtain?', 'what type of object is this?', 'is the curtain velvet?', 'what is the material of the curtain?', 'is there trim on the curtain?', 'what is on the curtain?', 'is the curtain crimson?', 'what color is the curtain?', 'is the trim gold?', 'what color is the trim?']","[['yes', 'no'], ['curtain', 'blanket', 'sheet', 'pillow'], ['yes', 'no'], ['velvet', 'silk', 'cotton', 'wool'], ['yes', 'no'], ['trim', 'border', 'hem', 'button'], ['yes', 'no'], ['crimson', 'black', 'white', 'yellow'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper']]","['yes', 'curtain', 'yes', 'velvet', 'yes', 'trim', 'yes', 'crimson', 'yes', 'gold']"
240,emerald hills under a sky with scattered clouds,"['are there hills?', 'what type of place is this?', 'is there a sky?', 'what type of place is this?', 'are there clouds?', 'what is in the sky?', 'are the hills emerald?', 'what color are the hills?', 'are the hills under the sky?', 'are the hills under or over the sky?', 'are the clouds scattered?', 'are the clouds scattered or dense?']","[['yes', 'no'], ['hills', 'mountains', 'valleys', 'plains'], ['yes', 'no'], ['sky', 'space', 'universe', 'planet'], ['yes', 'no'], ['clouds', 'stars', 'moon', 'sun'], ['yes', 'no'], ['emerald', 'green', 'red', 'blue'], ['yes', 'no'], ['under', 'over', 'next to', 'behind'], ['yes', 'no'], ['scattered', 'dense', 'thick', 'thin']]","['yes', 'hills', 'yes', 'sky', 'yes', 'clouds', 'yes', 'emerald', 'yes', 'under', 'yes', 'scattered']"
241,Yellow triangles arranged in a radiating starburst pattern.,"['are there triangles?', 'what shape is this?', 'is there a starburst pattern?', 'what pattern is this?', 'are the triangles arranged in a radiating starburst pattern?', 'are the triangles yellow?', 'what color are the triangles?']","[['yes', 'no'], ['triangles', 'squares', 'circles', 'rectangles'], ['yes', 'no'], ['starburst pattern', 'stripes', 'dots', 'lines'], ['yes', 'no'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green']]","['yes', 'triangles', 'yes', 'starburst pattern', 'yes', 'yes', 'yellow']"
242,Overlapping indigo stars on a chartreuse grid background.,"['are there stars on the chartreuse grid background?', 'what type of object is this?', 'is there a grid background?', 'what type of object is this?', 'are the stars overlapping?', 'what are the stars doing?', 'are the stars indigo?', 'what color are the stars?', 'is the grid chartreuse?', 'what color is the grid?']","[['yes', 'no'], ['stars', 'planets', 'galaxies', 'nebulae'], ['yes', 'no'], ['grid', 'background', 'pattern', 'design'], ['yes', 'no'], ['overlapping', 'spreading', 'clustering', 'fading'], ['yes', 'no'], ['indigo', 'black', 'white', 'yellow'], ['yes', 'no'], ['chartreuse', 'red', 'blue', 'green']]","['yes', 'stars', 'yes', 'grid', 'yes', 'overlapping', 'yes', 'indigo', 'yes', 'chartreuse']"
243,A dashed black line across a white background.,"['is there a line?', 'what type of object is this?', 'is there a background?', 'what type of object is this?', 'is the line black?', 'what color is the line?', 'is the background white?', 'what color is the background?', 'is the line dashed?', 'is the line dashed or solid?']","[['yes', 'no'], ['line', 'circle', 'square', 'triangle'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['black', 'white', 'red', 'blue'], ['yes', 'no'], ['white', 'black', 'red', 'blue'], ['yes', 'no'], ['dashed', 'solid', 'dotted', 'wavy']]","['yes', 'line', 'yes', 'background', 'yes', 'black', 'yes', 'white', 'yes', 'dashed']"
244,Overlapping translucent circles in shades of teal and gold.,"['are there circles?', 'what shape is this?', 'are the circles overlapping?', 'what is the circles doing?', 'are the circles in shades of teal and gold?', 'what color are the circles?', 'are the circles translucent?', 'are the circles translucent or opaque?', 'are the circles in?', 'are the circles in or out?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['overlapping', 'touching', 'separating', 'rotating'], ['yes', 'no'], ['teal and gold', 'red and blue', 'blue and yellow', 'green and purple'], ['yes', 'no'], ['translucent', 'opaque', 'transparent', 'translucent'], ['yes', 'no'], ['in', 'out', 'under', 'over']]","['yes', 'circles', 'yes', 'overlapping', 'yes', 'teal and gold', 'yes', 'translucent', 'yes', 'in']"
245,Overlapping cerulean rectangles with transparent edges.,"['are there rectangles?', 'what shape is this?', 'are the rectangles overlapping?', 'are the rectangles cerulean?', 'what color are the rectangles?', 'do the edges of the rectangles have transparent edges?']","[['yes', 'no'], ['rectangles', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['yes', 'no'], ['cerulean', 'red', 'blue', 'green'], ['yes', 'no']]","['yes', 'rectangles', 'yes', 'yes', 'cerulean', 'yes']"
246,A simple stylized yellow sun icon with rays.,"['is this a sun?', 'what type of object is this?', 'are there rays?', 'what is the sun surrounded by?', 'is the sun yellow?', 'what color is the sun?', 'is the sun stylized?', 'is the sun simple?', 'is the sun simple or complex?']","[['yes', 'no'], ['sun', 'moon', 'star', 'planet'], ['yes', 'no'], ['rays', 'clouds', 'trees', 'mountains'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['yes', 'no'], ['simple', 'complex', 'detailed', 'rough']]","['yes', 'sun', 'yes', 'rays', 'yes', 'yellow', 'yes', 'yes', 'simple']"
247,cyan circles arranged in a spiral pattern,"['are there circles?', 'what type of shape is this?', 'is there a spiral pattern?', 'what type of pattern is this?', 'are the circles arranged in a spiral pattern?', 'are the circles cyan?', 'what color are the circles?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['spiral pattern', 'straight line pattern', 'zigzag pattern', 'wavy pattern'], ['yes', 'no'], ['yes', 'no'], ['cyan', 'red', 'yellow', 'blue']]","['yes', 'circles', 'yes', 'spiral pattern', 'yes', 'yes', 'cyan']"
248,a smooth silver metallic pyramid,"['is this a pyramid?', 'what shape is this?', 'is the pyramid silver?', 'what color is the pyramid?', 'is the pyramid smooth?', 'is the pyramid smooth or rough?', 'is the pyramid metallic?', 'is the pyramid metallic or non-metallic?']","[['yes', 'no'], ['pyramid', 'cube', 'sphere', 'cylinder'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['smooth', 'rough', 'bumpy', 'textured'], ['yes', 'no'], ['metallic', 'non-metallic', 'translucent', 'transparent']]","['yes', 'pyramid', 'yes', 'silver', 'yes', 'smooth', 'yes', 'metallic']"
249,A field of sunflowers under a blue sky,"['is this a field?', 'what type of place is this?', 'are there sunflowers?', 'what type of flower is this?', 'is there a sky?', 'what type of place is this?', 'are the sunflowers under the sky?', 'are the sunflowers under or next to the sky?', 'is the sky blue?', 'what color is the sky?']","[['yes', 'no'], ['field', 'park', 'forest', 'mountain'], ['yes', 'no'], ['sunflowers', 'roses', 'tulips', 'lilies'], ['yes', 'no'], ['sky', 'ground', 'water', 'space'], ['yes', 'no'], ['under', 'next to', 'behind', 'in front of'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green']]","['yes', 'field', 'yes', 'sunflowers', 'yes', 'sky', 'yes', 'under', 'yes', 'blue']"
250,A red bridge over a calm river,"['is this a bridge?', 'what type of place is this?', 'is this a river?', 'what type of place is this?', 'is the bridge red?', 'what color is the bridge?', 'is the river calm?', 'is the river calm or rough?']","[['yes', 'no'], ['bridge', 'tunnel', 'tunnel', 'road'], ['yes', 'no'], ['river', 'lake', 'ocean', 'pond'], ['yes', 'no'], ['red', 'blue', 'yellow', 'green'], ['yes', 'no'], ['calm', 'rough', 'fast', 'slow']]","['yes', 'bridge', 'yes', 'river', 'yes', 'red', 'yes', 'calm']"
251,Overlapping indigo circles with magenta outlines,"['are there circles?', 'what type of shape is this?', 'are there outlines?', 'are the circles overlapping?', 'are the circles overlapping or touching?', 'are the circles indigo?', 'what color are the circles?', 'are the outlines magenta?', 'what color are the outlines?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['yes', 'no'], ['overlapping', 'touching', 'intersecting', 'coincident'], ['yes', 'no'], ['indigo', 'purple', 'blue', 'green'], ['yes', 'no'], ['magenta', 'purple', 'blue', 'green']]","['yes', 'circles', 'yes', 'yes', 'overlapping', 'yes', 'indigo', 'yes', 'magenta']"
252,A blue ceramic vase with a white floral pattern,"['is this a vase?', 'what type of container is this?', 'is there a floral pattern on the vase?', 'what is on the vase?', 'is the vase blue?', 'what color is the vase?', 'is the floral pattern white?', 'what color is the floral pattern?', 'is the vase ceramic?', 'what is the material of the vase?']","[['yes', 'no'], ['vase', 'bowl', 'cup', 'glass'], ['yes', 'no'], ['floral pattern', 'animal pattern', 'human pattern', 'abstract pattern'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['white', 'black', 'red', 'blue'], ['yes', 'no'], ['ceramic', 'metal', 'plastic', 'glass']]","['yes', 'vase', 'yes', 'floral pattern', 'yes', 'blue', 'yes', 'white', 'yes', 'ceramic']"
253,a chrome sphere reflecting a vibrant sunset,"['is this a sphere?', 'what shape is this?', 'is the sphere reflecting a vibrant sunset?', 'is the sphere chrome?', 'what color is the sphere?', 'is the vibrant sunset vibrant?', 'what color is the vibrant sunset?']","[['yes', 'no'], ['sphere', 'cube', 'cylinder', 'cone'], ['yes', 'no'], ['yes', 'no'], ['chrome', 'silver', 'gold', 'bronze'], ['yes', 'no'], ['vibrant sunset', 'sunset', 'sunrise', 'noon']]","['yes', 'sphere', 'yes', 'yes', 'chrome', 'yes', 'vibrant sunset']"
